Census Tract Id (Geoid),Total Population,Percent White,Percent Hispanic,Percent Forest Cover,Trees Per Capita,Public School Ratio,Schools Per Capita
12086020002,4982,44.1,0.6,0.0,0.0,,0.0
12115000407,4978,60.0,0.1,0.0,0.0,0.6666666666666666,0.0006026516673362796
12085001804,4976,40.3,0.0,4.43,11.19114037726934,0.5,0.00040192926045016077
12081000901,4975,68.6,2.4,0.0,0.0,,0.0
12053041201,4973,74.0,1.3,13.94,3.2239797845839955,0.5,0.0004021717273275689
12073001601,4973,45.9,3.1,19.62,3.3765750009741744,0.4,0.0010054293183189222
12086008207,4970,66.7,0.0,14.64,2.6769012078996917,1.0,0.00020120724346076458
12021010511,4969,51.6,6.6,0.0,0.0,,0.0
12011020312,4968,42.0,0.8,0.15,0.01299989740480968,1.0,0.0006038647342995169
12086009305,4967,42.4,0.0,0.64,0.08126571661351734,1.0,0.00020132876988121604
12086013400,4967,32.8,0.0,0.0,0.0,,0.0
12127082508,4966,90.1,1.0,9.66,2.2954059684257304,0.5,0.0004027386226339106
12086007807,4965,51.8,0.3,0.0,0.0,,0.0
12127091015,4965,52.8,0.9,3.15,0.4357597029783818,1.0,0.0002014098690835851
12095012402,4960,24.6,0.0,0.07,0.006510432490634525,,0.0
12061050101,4958,51.7,5.1,0.0,0.0,1.0,0.0006050826946349334
12086007004,4957,35.5,0.4,0.0,0.0,,0.0
12086019802,4956,32.6,0.0,0.0,0.0,,0.0
12031014344,4956,40.0,0.6,6.06,0.7558197009304845,,0.0
12033002300,4955,79.8,8.0,2.92,0.6223736956939985,0.0,0.0004036326942482341
12011020414,4955,47.0,3.5,0.0,0.0,,0.0
12095014608,4955,16.0,1.9,0.2,0.01629250512287954,1.0,0.00020181634712411706
12086019801,4948,42.5,0.0,0.0,0.0,1.0,0.0002021018593371059
12113010200,4947,90.4,2.7,33.74,482.825886324036,0.6,0.001010713563776026
12101032109,4946,48.9,4.2,2.45,0.5941263261166194,,0.0
12103025407,4944,86.1,1.6,1.07,0.10776978054885307,0.0,0.0002022653721682848
12009063109,4943,91.9,0.0,2.07,0.4017686277449233,1.0,0.00020230629172567267
12086011008,4940,40.4,0.0,0.0,0.0,,0.0
12039020600,4940,20.1,0.6,47.24,261.7363606924309,0.5,0.0004048582995951417
12005001301,4939,67.6,2.4,6.21,2.526981069416079,1.0,0.00040494027130998176
12086012102,4938,35.2,0.7,0.0,0.0,,0.0
12069030108,4935,85.9,3.4,13.3,35.05633731714881,1.0,0.00020263424518743666
12117021612,4935,80.7,1.0,1.42,0.21920434906663278,1.0,0.00020263424518743666
12103024413,4935,85.0,1.2,0.0,0.0,1.0,0.00020263424518743666
12055961000,4933,86.4,0.4,1.16,12.100403591391057,,0.0
12086001701,4933,12.2,0.6,0.0,0.0,,0.0
12031002200,4930,88.9,0.2,2.47,0.2554519393485482,1.0,0.00020283975659229209
12086001402,4929,17.7,0.0,0.0,0.0,0.0,0.0002028809089064719
12057013206,4929,65.4,2.5,8.93,1.7295639522289457,1.0,0.0002028809089064719
12099004810,4927,74.6,2.7,0.0,0.0,,0.0
12103025122,4926,93.6,0.8,0.0,0.0,,0.0
